product_id,product_name,aisle_id,department_id,aisle,department,full_text,image_url
1,Personal care,2,42,cold flu allergy,personal care,Personal care. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod1/300/300
2,Frozen,132,13,frozen pizza,frozen,Frozen. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod2/300/300
3,Dairy eggs,101,34,yogurt,dairy eggs,Dairy eggs. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod3/300/300
4,Pantry,107,46,marinades meat preparation,pantry,Pantry. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod4/300/300
5,Cream Cheese,101,19,yogurt,dairy eggs,Cream Cheese. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod5_real/300/300
6,Dry goods pasta,26,41,grains rice dried goods,dry goods pasta,Dry goods pasta. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod6/300/300
7,Beverages,10,38,tea,beverages,Beverages. tea aisle. beverages department.,https://picsum.photos/seed/prod7/300/300
8,Vegan Snack,109,18,grains rice dried goods,dry goods pasta,Vegan Snack. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod8_real/300/300
9,Face Wash,150,13,cold flu allergy,personal care,Face Wash. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod9_real/300/300
10,Yogurt,34,19,yogurt,dairy eggs,Yogurt. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod10_real/300/300
11,Snacks,59,38,cookies cakes,snacks,Snacks. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod11/300/300
12,Orange Juice,141,45,tea,beverages,Orange Juice. tea aisle. beverages department.,https://picsum.photos/seed/prod12_real/300/300
13,Frozen Berries,105,24,frozen pizza,frozen,Frozen Berries. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod13_real/300/300
14,Iced Coffee,17,10,tea,beverages,Iced Coffee. tea aisle. beverages department.,https://picsum.photos/seed/prod14_real/300/300
15,Pantry,54,31,spices seasonings,pantry,Pantry. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod15/300/300
16,Sour Cream,3,37,yogurt,dairy eggs,Sour Cream. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod16_real/300/300
17,Pretzels,77,9,cookies cakes,snacks,Pretzels. cookies cakes aisle. snacks department.,https://picsum.photos/seed/prod17_real/300/300
18,Frozen Vegetables,3,17,frozen pizza,frozen,Frozen Vegetables. frozen pizza aisle. frozen department.,https://picsum.photos/seed/prod18_real/300/300
19,Frozen,17,7,frozen meals,frozen,Frozen. frozen meals aisle. frozen department.,https://picsum.photos/seed/prod19/300/300
20,Green Tea,111,44,tea,beverages,Green Tea. tea aisle. beverages department.,https://picsum.photos/seed/prod20_real/300/300
21,Almond Milk,31,4,grains rice dried goods,dry goods pasta,Almond Milk. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod21_real/300/300
22,Gluten-Free Bread,149,5,grains rice dried goods,dry goods pasta,Gluten-Free Bread. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod22_real/300/300
23,Tomato Sauce,97,31,marinades meat preparation,pantry,Tomato Sauce. marinades meat preparation aisle. pantry department.,https://picsum.photos/seed/prod23_real/300/300
24,Milk,77,15,yogurt,dairy eggs,Milk. yogurt aisle. dairy eggs department.,https://picsum.photos/seed/prod24_real/300/300
25,Canned Beans,96,26,spices seasonings,pantry,Canned Beans. spices seasonings aisle. pantry department.,https://picsum.photos/seed/prod25_real/300/300
26,Hand Soap,35,6,cold flu allergy,personal care,Hand Soap. cold flu allergy aisle. personal care department.,https://picsum.photos/seed/prod26_real/300/300
27,Organic Juice,5,30,grains rice dried goods,dry goods pasta,Organic Juice. grains rice dried goods aisle. dry goods pasta department.,https://picsum.photos/seed/prod27_real/300/300
28,Beverages,160,46,juice nectars,beverages,Beverages. juice nectars aisle. beverages department.,https://picsum.photos/seed/prod28/300/300
29,Herbal Tea,188,28,tea,beverages,Herbal Tea. tea aisle. beverages department.,https://picsum.photos/seed/prod29_real/300/300
